TICKER,Authority,Calamity,Call,Childhood,Civilians,Civilization,Complex,Confront,Cycles,Death,Defcon,Destruction,Development,Doomsday,Dreamers,Duty,Eroticism,Forget,God,History,Indians,Jack,Japan,Justice,Land,Launch,Malfunction,Man,Nature,Normality,Nukes,Others,Russians,Scientists,Time,War
1,-0.001,-0.00219,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0031,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0038,-0.001,-0.0024,-0.005760001,-0.001,-0.0024,-0.001,-0.001,-0.001,-0.0024,-0.0017
2,-0.001,-0.00219,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0031,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0038,-0.001,-0.0024,-0.005760001,-0.001,-0.0024,-0.001,-0.001,-0.001,-0.0024,-0.0017
3,-0.001980048,-0.00430289,2.182631,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.00609635,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.001980048,-0.007468451,-0.001980048,-0.00472425,-0.01127142,-0.001980048,-0.00472425,-0.001980048,-0.001980048,-0.001980048,-0.00472425,-0.003352149
4,-0.002950248,-0.006377994,3.554907,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.009041805,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.002950248,-0.01107232,-0.002950248,-0.007011287,-0.01666123,-0.002950248,-0.007011287,-0.002950248,-0.002950248,-0.002950248,-0.007011287,-0.004980768
5,-0.00391084,-0.008416763,4.154351,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.01193812,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.00391084,-0.01461388,-0.00391084,-0.009262362,-0.02193453,-0.00391084,-0.009262362,-0.00391084,-0.00391084,-0.00391084,-0.009262362,-0.006586602
6,-0.004861732,-0.01041863,4.530909,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.01478461,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.004861732,-0.01809224,-0.004861732,-0.01147699,-0.02708931,-0.004861732,-0.01147699,-0.004861732,-0.004861732,-0.004861732,-0.01147699,-0.00816936
7,-0.005861732,-0.01260863,4.529909,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.01788461,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.005861732,-0.02189225,-0.005861732,-0.01387699,-0.03284932,-0.005861732,-0.01387699,-0.005861732,-0.005861732,-0.005861732,-0.01387699,-0.009869359
8,-0.006729283,-0.01429361,4.438887,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.02030323,-0.006729283,-0.006729283,-0.006729283,-0.006729283,-0.006729283,2.430421,3.553733,-0.01577858,-0.03698659,-0.006729283,-0.01577858,-0.006729283,-0.006729283,-0.006729283,-0.01577858,-0.01125393
9,-0.007729283,-0.01648361,4.437887,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.02340323,-0.007729283,-0.007729283,-0.007729283,-0.007729283,-0.007729283,2.426621,3.552733,-0.01817858,-0.04274659,-0.007729283,-0.01817858,-0.007729283,-0.007729283,-0.007729283,-0.01817858,-0.01295393
10,-0.008694366,-0.01854078,4.419139,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.02632389,-0.008694366,-0.008694366,-0.008694366,-0.008694366,-0.008694366,2.882154,4.224421,-0.02044738,-0.04807999,-0.008694366,-0.02044738,-0.008694366,-0.008694366,-0.008694366,-0.02044738,-0.01457087
11,-0.009636199,-0.02050956,4.391631,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.0291252,-0.009636199,-0.009636199,-0.009636199,-0.009636199,-0.009636199,3.419553,5.026056,-0.02262887,-0.05312959,-0.009636199,-0.02262887,-0.009636199,-0.009636199,-0.009636199,-0.02262887,-0.01613253
12,-0.01052984,-0.02229562,4.346725,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.03167959,-0.01052984,-0.01052984,-0.01052984,-0.01052984,-0.01052984,4.024049,5.952403,-0.02462967,-0.05759291,-0.01052984,-0.02462967,-0.01052984,-0.01052984,-0.01052984,-0.02462967,-0.01757975
